place_of_residence,place_of_work,N_workers,place_of_residence_chi,place_of_work_chi
Sham Shui Po,Tsuen Wan New Town,5263,深水埗,荃灣新市鎮
Kowloon City,Tsuen Wan New Town,3091,九龍城,荃灣新市鎮
Wong Tai Sin,Tsuen Wan New Town,3797,黃大仙,荃灣新市鎮
Kwun Tong,Tsuen Wan New Town,4174,觀塘,荃灣新市鎮
Kwai Tsing,Tsuen Wan New Town,21536,葵青,荃灣新市鎮
Tsuen Wan,Tsuen Wan New Town,27444,荃灣,荃灣新市鎮
Tuen Mun,Tsuen Wan New Town,11714,屯門,荃灣新市鎮
Yuen Long,Tsuen Wan New Town,12454,元朗,荃灣新市鎮
North,Tsuen Wan New Town,2462,北區,荃灣新市鎮
Tai Po,Tsuen Wan New Town,3413,大埔,荃灣新市鎮
Sha Tin,Tsuen Wan New Town,7631,沙田,荃灣新市鎮
Sai Kung,Tsuen Wan New Town,2795,西貢,荃灣新市鎮
Islands,Tsuen Wan New Town,1240,離島,荃灣新市鎮
Central and Western,Tuen Mun New Town,815,中西區,屯門新市鎮
Wan Chai,Tuen Mun New Town,749,灣仔,屯門新市鎮
Eastern,Tuen Mun New Town,1019,東區,屯門新市鎮
Southern,Tuen Mun New Town,481,南區,屯門新市鎮
Yau Tsim Mong,Tuen Mun New Town,1370,油尖旺,屯門新市鎮
Sham Shui Po,Tuen Mun New Town,1708,深水埗,屯門新市鎮
Kowloon City,Tuen Mun New Town,1166,九龍城,屯門新市鎮
Wong Tai Sin,Tuen Mun New Town,1400,黃大仙,屯門新市鎮
Kwun Tong,Tuen Mun New Town,1437,觀塘,屯門新市鎮
Kwai Tsing,Tuen Mun New Town,2865,葵青,屯門新市鎮
Tsuen Wan,Tuen Mun New Town,2717,荃灣,屯門新市鎮
Tuen Mun,Tuen Mun New Town,55400,屯門,屯門新市鎮
Yuen Long,Tuen Mun New Town,22157,元朗,屯門新市鎮
North,Tuen Mun New Town,1977,北區,屯門新市鎮
Tai Po,Tuen Mun New Town,840,大埔,屯門新市鎮
Sha Tin,Tuen Mun New Town,2129,沙田,屯門新市鎮
Sai Kung,Tuen Mun New Town,725,西貢,屯門新市鎮
Islands,Tuen Mun New Town,389,離島,屯門新市鎮
Central and Western,Yuen Long New Town,337,中西區,元朗新市鎮
Wan Chai,Yuen Long New Town,132,灣仔,元朗新市鎮
